compas-alpha_1-beta_0.0-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_1,1571659064,198,0.5354,0.0,0.5434,0.77,0.0079,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659064,199,0.5474,0.0,0.5499,0.77,0.0025,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659065,200,0.6823,0.0,0.684,0.53,0.0017,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659065,201,0.6096,0.0,0.6097,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659065,202,0.7017,0.0,0.7024,0.5,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659066,203,0.6428,0.0,0.6428,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659066,204,0.5384,0.0,0.545,0.73,0.0066,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659066,205,0.4481,0.0,0.4484,0.9,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659067,206,0.5713,0.0,0.5731,0.77,0.0018,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659067,207,0.5369,0.0,0.54,0.8,0.0031,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659068,208,0.7257,0.0,0.7293,0.7,0.0037,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659068,209,0.6415,0.0,0.646,0.63,0.0045,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659068,210,0.6847,0.0,0.6852,0.53,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659069,211,0.62,0.0,0.6209,0.63,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659069,212,0.583,0.0,0.5834,0.7,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659069,213,0.6737,0.0,0.678,0.67,0.0044,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659070,214,0.6581,0.0,0.6604,0.63,0.0023,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659070,215,0.6343,0.0,0.6351,0.73,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659071,216,0.5793,0.0,0.602,0.73,0.0226,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659071,217,0.5225,0.0,0.5238,0.83,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659071,218,0.6003,0.0,0.6041,0.8,0.0038,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659072,219,0.6802,0.0,0.681,0.6,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659072,220,0.5688,0.0,0.5707,0.77,0.0019,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659072,221,0.64,0.0,0.6431,0.7,0.0031,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659073,222,0.6612,0.0,0.662,0.6,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659073,223,0.6009,0.0,0.6064,0.63,0.0056,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659073,224,0.5336,0.0,0.5372,0.77,0.0037,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659074,225,0.5477,0.0,0.5478,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659074,226,0.6771,0.0,0.6779,0.63,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659075,227,0.6218,0.0,0.6251,0.67,0.0033,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659075,228,0.6146,0.0,0.6167,0.67,0.0021,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659075,229,0.6732,0.0,0.6758,0.7,0.0025,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659076,230,0.4881,0.0,0.4905,0.77,0.0024,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659076,231,0.6541,0.0,0.6566,0.6,0.0025,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659076,232,0.6909,0.0,0.6921,0.53,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659077,233,0.5295,0.0,0.5297,0.73,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659077,234,0.5869,0.0,0.5871,0.67,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659077,235,0.5937,0.0,0.598,0.7,0.0043,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659078,236,0.6482,0.0,0.6489,0.7,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659078,237,0.535,0.0,0.5355,0.73,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659079,238,0.5997,0.0,0.6025,0.6,0.0028,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659079,239,0.5314,0.0,0.5323,0.7,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659079,240,0.6243,0.0,0.6245,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659080,241,0.5037,0.0,0.505,0.87,0.0013,1.0
